School Yr,Location,District ID,District Name,School ID,School Name,School Type,Grade Band,Virtual Status,Governance,ADM,Total Expenditures,Per Pupil Exp,Fed Per Pupil Exp,State/Local Per Pupil Exp,Direct Classroom Expenditures,Classroom Support,Building Support,Central Support,Other Expenditures,ESD Direct Support,School Expenditures,District Expenditures,General Fund,Special State and Local Revenue Funds,Special Federal Revenue Funds,Special Revenue Funds,Trust and Agency Funds,Internal Service Funds,Enterprise Funds,ESD General Fund,ESD Special Revenue Funds,ESD Internal
23-24,West Linn-Wilsonville SD 3J-Stafford Primary School,1922,West Linn-Wilsonville SD 3J,47,Stafford Primary School,Regular,Elementary,Not Virtual,Public,345.41,6359014.9547761455,18410.048796433643,0,18410.048796433643,3829007.2877765945,1123270.7348646729,1062210.4405713794,179226.77835140578,165299.71321209279,152663.20597463736,4643616,1562735.7488015078,5439610.356588332,0,0,766741.3922131755,0,0,0,148396.87326094034,4266.332713697026,0
23-24,West Linn-Wilsonville SD 3J-Sunset Primary School,1922,West Linn-Wilsonville SD 3J,48,Sunset Primary School,Regular,Elementary,Not Virtual,Public,381.02,6850443.791751271,17979.223641150784,0,17979.223641150784,4149600.7405941864,1220042.1845578807,1100755.460225549,197704.14026071224,182341.26611294283,168401.9997697123,4958196,1723845.7919815592,6022826.8165869145,0,0,659214.9753946444,0,0,0,163695.83002774525,4706.169741967055,0
23-24,West Linn-Wilsonville SD 3J-West Linn High School,1922,West Linn-Wilsonville SD 3J,51,West Linn High School,Regular,High School,Not Virtual,Public,1866.32,30309469.139239497,16240.231653328206,0,16240.231653328206,15922745.56353352,6992224.459461614,5488866.89078827,968398.485778627,937233.7396774642,824870.1386021978,21040822.09,8443776.910637299,25726512.268448614,0,0,3758086.7321886853,0,0,0,801818.2811857158,23051.857416481955,0
23-24,West Linn-Wilsonville SD 3J-Boeckman Creek Primary School,1922,West Linn-Wilsonville SD 3J,1272,Boeckman Creek Primary School,Regular,Elementary,Not Virtual,Public,469.36,8637985.98996477,18403.754026684783,0,18403.754026684783,5274228.212706124,1494385.9367594535,1401212.3949699851,243542.11136624822,224617.33416295957,207446.23015041774,6307018,2123521.7598143527,7426571.938358181,0,0,1003967.8214561711,0,0,0,201648.92861745448,5797.301532963249,0
23-24,West Linn-Wilsonville SD 3J-Willamette Primary School,1922,West Linn-Wilsonville SD 3J,1286,Willamette Primary School,Regular,Elementary,Not Virtual,Public,387.26633663366334,7571687.7793676285,19551.629106689197,0,19551.629106689197,4778757.739263368,1217860.057755823,1188794.2165598257,200945.24732579387,185330.51846281902,171162.735637498,5648419,1752106.043730131,6686665.712542802,0,0,713859.3311873284,0,0,0,166379.4142487316,4783.3213887664015,0
23-24,West Linn-Wilsonville SD 3J-Athey Creek Middle School,1922,West Linn-Wilsonville SD 3J,1287,Athey Creek Middle School,Regular,Junior High/Middle School,Not Virtual,Public,509.73,9465957.267097201,18570.53198182803,0,18570.53198182803,5610320.762277767,1759970.8548755671,1587239.4649907332,264489.34810533,243936.83684780417,225288.83350641816,6934501,2306167.4335907833,8373628.068943488,0,0,867040.3646472944,0,0,0,218992.90179004404,6295.93171637412,0
23-24,West Linn-Wilsonville SD 3J-Wilsonville High School,1922,West Linn-Wilsonville SD 3J,1323,Wilsonville High School,Regular,High School,Not Virtual,Public,1254.16,23339502.754555598,18609.669224465455,0,18609.669224465455,12292339.258205881,5502819.470014991,4243679.9848209405,650760.1295191195,649903.911994668,554309.6216240155,17111006.9,5674186.232931585,20277481.022488702,0,0,2507712.1104428833,0,0,0,538818.860394722,15490.761229293483,0
23-24,West Linn-Wilsonville SD 3J-Rosemont Ridge Middle School,1922,West Linn-Wilsonville SD 3J,2787,Rosemont Ridge Middle School,Regular,Junior High/Middle School,Not Virtual,Public,735.550594059406,11469658.069524556,15593.295909428933,0,15593.295909428933,6489147.964862786,2156443.8440872766,2090397.097728213,381663.4240112619,352005.73883502,325096.2967072695,7816716,3327845.772817288,9717681.46377987,0,0,1426880.3090374179,0,0,0,316011.14120506943,9085.155502200065,0
23-24,West Linn-Wilsonville SD 3J-Three Rivers Charter School,1922,West Linn-Wilsonville SD 3J,3452,Three Rivers Charter School,Charter,Elementary,Not Virtual,Public,110.27455445544554,611844.0947316994,5548.370589689429,0,5548.370589689429,53633.6687130607,203430.88199486022,244787.05580611667,57219.40050718323,52773.087710478714,48738.794535748944,64191,498914.30019595055,433125.3431314532,0,0,129979.95706449736,0,0,0,47376.73802562581,1362.056510123133,0
23-24,West Linn-Wilsonville SD 3J-Bolton Primary School,1922,West Linn-Wilsonville SD 3J,3455,Bolton Primary School,Regular,Elementary,Not Virtual,Public,233.17,5030383.928882064,21573.88998963016,0,21573.88998963016,3074817.6954079745,947737.6811279226,775254.9672216452,120987.54497031722,111586.04015420418,103055.73010945307,3872399,1054929.1987726106,4192030.804770277,0,0,735297.3940023339,0,0,0,100175.73011277453,2879.999996678542,0
23-24,West Linn-Wilsonville SD 3J-Boones Ferry Primary School,1922,West Linn-Wilsonville SD 3J,3913,Boones Ferry Primary School,Regular,Elementary,Not Virtual,Public,477.93,9431350.9147858,19733.74953400247,0,19733.74953400247,5775545.359593144,1601982.7591090966,1577115.271365274,247988.9238223773,228718.60089590773,211233.97131368064,7057822,2162294.9434721186,8164756.5469565485,0,0,1055360.3965155699,0,0,0,205330.8173984575,5903.153915223124,0
23-24,West Linn-Wilsonville SD 3J-Lowrie Primary School,1922,West Linn-Wilsonville SD 3J,5056,Lowrie Primary School,Regular,Elementary,Not Virtual,Public,458.71,8594446.225747272,18736.121352809558,0,18736.121352809558,5408583.426901368,1313787.7584603052,1414538.3537086286,238016.02587525934,219520.6608017112,202739.1772462462,6316369,2075338.0485010264,7197693.725805951,0,0,1194013.3226950748,0,0,0,197073.419222159,5665.758024087208,0
23-24,West Linn-Wilsonville SD 3J-Trillium Creek Primary School,1922,West Linn-Wilsonville SD 3J,5057,Trillium Creek Primary School,Regular,Elementary,Not Virtual,Public,487.84,8474056.639987245,17370.565431262803,0,17370.565431262803,5253650.2353983205,1331807.63769544,1402006.590510818,253131.03717596416,233461.13920670314,215613.961386952,6051312,2207130.6786002936,7380622.188871346,0,0,877820.4897289469,0,0,0,209588.40407520664,6025.557311745337,0
23-24,West Linn-Wilsonville SD 3J-Meridian Creek Middle School,1922,West Linn-Wilsonville SD 3J,5377,Meridian Creek Middle School,Regular,Junior High/Middle School,Not Virtual,Public,393.1,7266129.320553842,18484.17532575386,0,18484.17532575386,4001102.0281548863,1555736.4825723136,1317196.3023323272,203972.22596316724,188122.2815311475,173741.0794957585,5313889,1778499.2410580835,6236930.131857425,0,0,855458.109200658,0,0,0,168885.70359536677,4855.37590039171,0
23-24,West Linn-Wilsonville SD 3J-Riverside High School,1922,West Linn-Wilsonville SD 3J,5799,Riverside High School,Regular,High School,Not Virtual,Public,110.19,4847265.17456583,43990.064203338145,0,43990.064203338145,2322937.544396812,1433449.3856134398,761498.0945153882,57175.526784231486,272204.62325595814,48701.42342823106,4300032,498531.75113759906,3962496.9709981424,0,0,836066.780139457,0,0,0,47340.41129273331,1361.0121354977425,0
23-24,Lake Oswego SD 7J-Forest Hills Elementary School,1923,Lake Oswego SD 7J,53,Forest Hills Elementary School,Regular,Elementary,Not Virtual,Public,401.39,7686834.443441943,19150.53798909276,213.6039246763368,18936.934064416426,4712000.964685575,1296561.435066805,1147752.3495184346,239560.32809100367,290959.36608012515,178003.55959474784,4351553.33,3157277.5538471956,6347851.23187035,945020.1131611362,85738.47932583482,130221.0594898738,0,0,0,176334.44762792924,1669.1119668185925,0
23-24,Lake Oswego SD 7J-Hallinan Elementary School,1923,Lake Oswego SD 7J,54,Hallinan Elementary School,Regular,Elementary,Not Virtual,Public,357.48,6975288.616702773,19512.38843208787,213.60392467633682,19298.784507411536,4249800.355260966,1192324.6799653242,1060680.0112024467,213353.66124211368,259129.90903192197,158530.88637965685,4004870.09,2811887.640323116,5722921.764013336,856117.9037911831,76359.13099329689,161358.9315252998,0,0,0,157044.366670899,1486.5197087578429,0
